cluster_name,fuel_price,query,ga_cluster_solution,cluster_best_value,our_ga_best_solution,our_ga_best_value,pop_size,penalty_factor,cluster_time,memory used (mb),iters,mutation_method,mutation_prob,selection_method,selection_prob
small-3s-4p-f1_10-q1_4-random,1,['Purificadores de aire'],"{'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}, 'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}}",11282.96,"[['Supermercado Nacional', 'Purificadores de aire']]",4401.99,10,9.0,1.1301319599151611,0.0,100,swap,0.1,hard,0.66
small-3s-4p-f1_10-q1_4-random,1,"['Purificadores de aire', 'Aceite de girasol', 'Pasta de dientes', 'Alfombras']","{'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}, 'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}}",11282.96,"[['Supermercado Nacional', 'Alfombras'], ['Supermercado Nacional', 'Purificadores de aire'], ['Jumbo', 'Aceite de girasol'], ['Jumbo', 'Pasta de dientes']]",11282.96,10,9.0,1.0219473838806152,0.0,100,swap,0.1,hard,0.66
small-3s-4p-f1_10-q1_4-random,6,['Purificadores de aire'],"{'Supermercado Nacional': {'Purificadores de aire': 4381.99, 'Alfombras': 1274.99}, 'Jumbo': {'Aceite de girasol': 2689.99, 'Pasta de dientes': 2897.99}}",11472.96,"[['Supermercado Nacional', 'Purificadores de aire']]",4501.99,10,9.0,0.946138858795166,0.0,100,swap,0.1,hard,0.66
small-3s-4p-f1_10-q1_4-random,6,"['Purificadores de aire', 'Pasta de dientes', 'Aceite de girasol', 'Alfombras']","{'Jumbo': {'Pasta de dientes': 2897.99, 'Aceite de girasol': 2689.99}, 'Supermercado Nacional': {'Alfombras': 1274.99, 'Purificadores de aire': 4381.99}}",11400.96,"[['Jumbo', 'Pasta de dientes'], ['Jumbo', 'Aceite de girasol'], ['Supermercado Nacional', 'Alfombras'], ['Supermercado Nacional', 'Purificadores de aire']]",11472.96,10,9.0,0.9122629165649414,0.0,100,swap,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,0,['Televisores'],"{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Refresco de cola': 1015.99, 'Albahaca': 572.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",11702.9,"[['Super Pola', 'Televisores']]",619.99,10,9.0,0.9981791973114014,0.0,100,swap,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Esmalte de uñas', 'Albahaca', 'Rizadores de pelo', 'Chicles de fresa']","{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Albahaca': 572.99, 'Refresco de cola': 1015.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",11702.9,"[['Super Pola', 'Esmalte de uñas'], ['Jumbo', 'Albahaca'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Rizadores de pelo']]",5455.96,10,9.0,0.7573707103729248,0.0,100,swap,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Televisores', 'Aftershave', 'Refresco de cola', 'Esmalte de uñas', 'Rizadores de pelo', 'Albahaca', 'Fósforos']","{'Super Pola': {'Ropa de hombre': 1943.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99, 'Aftershave': 1074.99}, 'Jumbo': {'Refresco de cola': 1015.99, 'Rizadores de pelo': 4124.99, 'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99}, 'Bravo': {'Jamón de pavo': 1710.99}}",12961.899999999998,"[['Super Pola', 'Esmalte de uñas'], ['Super Pola', 'Televisores'], ['Super Pola', 'Aftershave'], ['Jumbo', 'Refresco de cola'], ['Jumbo', 'Rizadores de pelo'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Fósforos']]",8730.93,10,9.0,0.9985032081604004,0.0,100,swap,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,0,"['Ropa de hombre', 'Esmalte de uñas', 'Albahaca', 'Aftershave', 'Refresco de cola', 'Televisores', 'Jamón de pavo', 'Rizadores de pelo', 'Fósforos', 'Chicles de fresa']","{'Super Pola': {'Ropa de hombre': 1943.99, 'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99}, 'Jumbo': {'Albahaca': 572.99}, 'La Sirena': {'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Televisores': 728.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}}",11523.899999999998,"[['Super Pola', 'Ropa de hombre'], ['Super Pola', 'Aftershave'], ['Super Pola', 'Esmalte de uñas'], ['Jumbo', 'Albahaca'], ['La Sirena', 'Fósforos'], ['Supermercado Nacional', 'Chicles de fresa'], ['Supermercado Nacional', 'Televisores'], ['Supermercado Nacional', 'Rizadores de pelo'], ['Bravo', 'Jamón de pavo'], ['Bravo', 'Refresco de cola']]",11523.899999999998,10,9.0,1.1046218872070312,0.0,100,swap,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,3,['Esmalte de uñas'],"{'Supermercado Nacional': {'Chicles de fresa': 575.99, 'Televisores': 728.99, 'Rizadores de pelo': 3197.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Esmalte de uñas': 2883.99, 'Aftershave': 1702.99, 'Fósforos': 212.99}, 'Jumbo': {'Albahaca': 572.99}}",14176.899999999998,"[['La Sirena', 'Esmalte de uñas']]",3369.99,10,9.0,1.1093931198120117,0.0,100,swap,0.1,hard,0.66
small-5s-10p-f0_10-q1_10-random,3,"['Rizadores de pelo', 'Fósforos', 'Ropa de hombre', 'Albahaca']","{'Super Pola': {'Aftershave': 1074.99, 'Esmalte de uñas': 1108.99, 'Televisores': 619.99}, 'Jumbo': {'Albahaca': 572.99, 'Rizadores de pelo': 4124.99}, 'La Sirena': {'Ropa de hombre': 1611.99, 'Fósforos': 212.99}, 'Supermercado Nacional': {'Chicles de fresa': 575.99}, 'Bravo': {'Jamón de pavo': 1710.99, 'Refresco de cola': 395.99}}",12627.9,"[['Jumbo', 'Albahaca'], ['Jumbo', 'Rizadores de pelo'], ['La Sirena', 'Ropa de hombre'], ['La Sirena', 'Fósforos']]",7035.959999999999,10,9.0,1.181401252746582,0.0,100,swap,0.1,hard,0.66
